,Close,High,Low,Open,Volume
2023-07-12,1239.2415771484375,1256.52940602109,1233.3859691382677,1255.6928743826675,8102770
2023-07-13,1268.7982177734375,1279.6729026631901,1236.9644035943056,1240.728739413603,9977644
2023-07-14,1325.3553466796875,1329.1196820718644,1283.251133917294,1283.251133917294,12833381
2023-07-17,1322.5670166015625,1356.027373066275,1314.5273272735951,1325.3553796402884,11569884
2023-07-18,1371.131103515625,1373.6871031492155,1328.1903550548216,1332.8376271158952,16743977
2023-07-19,1370.898681640625,1393.0662591967148,1357.6539568295507,1381.1691978425513,13687062
2023-07-20,1347.2440185546875,1367.227286163467,1339.0647752661876,1367.227286163467,8347221
2023-07-21,1237.6614990234375,1254.7634832648805,1212.9380338227177,1227.065695806331,45548305
2023-07-24,1242.3087158203125,1254.670504599167,1240.1245206940966,1246.398337830829,8859789
2023-07-25,1240.4498291015625,1248.1178279606174,1230.829998679233,1242.6805423705,6801982
2023-07-26,1253.694580078125,1254.7634753600048,1244.9112811341217,1248.2572943766568,5528885
2023-07-27,1257.6912841796875,1267.5899965472738,1252.0216348505492,1262.7567654377913,9191861
2023-07-28,1245.93359375,1267.6363307852569,1241.7510490488623,1258.3417870049511,6122735
2023-07-31,1260.061279296875,1261.7343425932213,1239.1950734898064,1253.6016166280715,7902180
2023-08-01,1268.89111328125,1272.4230854175687,1261.2696325139816,1265.9169045571427,6064652
2023-08-02,1261.130126953125,1275.1648651116004,1253.322687629451,1272.7019018221301,7419145
2023-08-03,1268.0546875,1270.145959906921,1253.8339897494227,1254.7634441524986,6503741
2023-08-04,1281.1134033203125,1288.13082917061,1265.9168471204257,1272.3301049407662,5712345
2023-08-07,1294.72998046875,1296.5888892705716,1279.8587100541772,1289.9897857158628,3729093
2023-08-08,1292.1275634765625,1295.241326729345,1286.7367956063742,1294.5906405227167,4161877
2023-08-09,1296.0311279296875,1297.5182321515724,1284.9705988177284,1286.3647802992666,4090828
2023-08-10,1291.1051025390625,1297.3325151820761,1287.8520120932285,1293.428738571801,3873025
2023-08-11,1275.072021484375,1298.3083819497344,1270.610708350301,1293.800550711213,5783517
2023-08-14,1295.2412109375,1296.5888744198694,1269.2628926543166,1275.0719825934739,4304135
2023-08-16,1318.4310302734375,1319.7786937329943,1306.2552006588273,1311.2742769730567,7735313
2023-08-17,1311.971435546875,1319.825280033983,1306.812918118155,1319.825280033983,5618346
2023-08-18,1290.8262939453125,1309.3223454207798,1288.3632171358356,1304.6750735005544,5134103
2023-08-21,1306.2552490234375,1307.742353385992,1289.2927060601864,1291.709264831686,3032722
2023-08-22,1304.7215576171875,1306.8593480283198,1298.1224543541218,1305.6044938755163,2890714
2023-08-23,1308.6253662109375,1316.665170010188,1306.48768902064,1316.107520023971,2559125
2023-08-24,1323.1712646484375,1324.5190416072762,1314.6667341741827,1321.2194330950322,5171963
2023-08-25,1319.9180908203125,1322.148803936989,1311.8318834134902,1313.3189876716804,4307172
2023-08-28,1315.7822265625,1324.2867575475643,1311.83204511479,1319.9182535183484,3133464
2023-08-29,1317.64111328125,1323.914930768979,1315.4569180328365,1323.5431263001694,3074444
2023-08-30,1333.906494140625,1335.30067572943,1323.5430549720845,1326.3314181496944,3070887
2023-08-31,1334.185302734375,1342.968715084765,1327.8650807492497,1333.906534483456,9792735
2023-09-01,1341.99267578125,1343.9910253779606,1327.446692130181,1330.0026916597724,3582133
2023-09-04,1361.7435302734375,1366.2978792292915,1333.4880956574837,1341.2026120597739,4609014
