company_code,date,open,high,low,close,volume,date_diff,daily_return
INFY.NS,2022-12-28,1380.368461733021,1398.5734186856855,1374.3154431330508,1385.0,5029860,1.0,-0.003102564212957293
INFY.NS,2022-12-29,1379.3596220007287,1395.2259709449818,1376.6082397759933,1391.7867431640625,4624745,1.0,0.004900175569720222
INFY.NS,2022-12-30,1401.3707157827157,1403.57184400983,1379.405558572839,1383.2115478515625,5060544,1.0,-0.006161285379831516
INFY.NS,2023-01-02,1388.5308744976214,1399.9949669224698,1379.4055017090532,1397.7021484375,3801140,3.0,0.01047605524147377
INFY.NS,2023-01-03,1393.8960033950495,1405.6352784494222,1389.5396484110163,1396.372314453125,4551130,1.0,-0.0009514430423259723
INFY.NS,2023-01-04,1394.9509370945927,1394.9509370945927,1367.5288022651728,1370.9222412109375,7059590,1.0,-0.018225850640811947
INFY.NS,2023-01-05,1381.1022918875108,1381.1022918875108,1347.48954741884,1352.9464111328125,9868404,1.0,-0.0131122171176149
INFY.NS,2023-01-06,1348.1773465478836,1352.7629837810398,1326.6248515520501,1328.4591064453125,6443714,1.0,-0.018099242132581517
INFY.NS,2023-01-09,1328.1837010555696,1365.9235115565782,1328.1837010555696,1361.4295654296875,11498717,3.0,0.024818572754262025
INFY.NS,2023-01-10,1359.182808712685,1360.9253731659428,1333.5491426282238,1347.947998046875,7158624,1.0,-0.009902508161380719
INFY.NS,2023-01-11,1348.1773211820307,1370.1883794870434,1342.6745566057775,1349.32373046875,6173092,1.0,0.0010206123855434068
INFY.NS,2023-01-12,1359.136903308,1361.9341866547945,1334.4203647021723,1357.8988037109375,6591385,1.0,0.006355089626422394
INFY.NS,2023-01-13,1360.5585559991107,1393.4834534558884,1346.3430806920758,1379.0386962890625,11610426,1.0,0.015568091318994393
INFY.NS,2023-01-16,1384.8624058326163,1401.370699412078,1377.8005694719036,1399.077880859375,6073063,3.0,0.014531270677347274
INFY.NS,2023-01-17,1400.453510280707,1414.393801685257,1397.7021281387017,1411.9176025390625,5922644,1.0,0.009177274442935701
INFY.NS,2023-01-18,1416.7325801385587,1423.24416242099,1412.0093515411083,1417.3287353515625,5843098,1.0,0.003832470678720279
INFY.NS,2023-01-19,1412.2845590753184,1421.1348612109173,1399.6740568482828,1411.367431640625,6165284,1.0,-0.00420601344081184
INFY.NS,2023-01-20,1410.5419708855652,1416.9618628206752,1397.7021870153455,1399.123779296875,6496429,1.0,-0.008675028252223105
INFY.NS,2023-01-23,1407.790721331456,1424.5741994683594,1401.4625191509494,1419.71337890625,4855020,3.0,0.014716067237254826
INFY.NS,2023-01-24,1430.7187486357645,1438.7895145635266,1421.3181927553053,1423.2900390625,5200802,1.0,0.0025192832647709107
INFY.NS,2023-01-25,1418.7960730383943,1427.0502195525155,1411.2297720671163,1415.1275634765625,4158617,1.0,-0.005734934807324343
INFY.NS,2023-01-27,1417.8789993665666,1422.4187353397176,1382.477903144469,1393.254150390625,6209955,2.0,-0.015456849015222929
INFY.NS,2023-01-30,1402.104239833903,1416.0445298016398,1394.0334749342567,1411.2755126953125,6964719,3.0,0.012934727163478987
INFY.NS,2023-01-31,1420.53866769089,1420.53866769089,1387.6137712822178,1406.6441650390625,9448126,1.0,-0.003281675062443923
INFY.NS,2023-02-01,1414.39393960966,1426.1791171637,1401.4166754709465,1422.556396484375,6194199,1.0,0.011312193830392614
INFY.NS,2023-02-02,1423.3816939621152,1455.4352511160564,1423.3816939621152,1452.50048828125,6916834,1.0,0.02104949362350572
INFY.NS,2023-02-03,1465.1110731830363,1471.6685567151628,1442.6414510904015,1466.8536376953125,7040194,1.0,0.009881683021701892
INFY.NS,2023-02-06,1465.569600374364,1465.569600374364,1432.186140277909,1439.75244140625,4570612,3.0,-0.0184757330878923
INFY.NS,2023-02-07,1438.972940534242,1445.4387337102248,1426.2248468410608,1432.919921875,4336238,1.0,-0.004745621076757134
INFY.NS,2023-02-08,1435.7629765999538,1470.1552548640857,1435.7629765999538,1458.691162109375,7983338,1.0,0.01798512243493189
INFY.NS,2023-02-09,1463.9187005529932,1485.5170954490195,1454.6099470732718,1482.9949951171875,6904911,1.0,0.01666139731227778
INFY.NS,2023-02-10,1479.2805100226515,1482.3529761992756,1464.1479087924397,1475.2452392578125,4786762,1.0,-0.005225746469065151
INFY.NS,2023-02-13,1464.6524284395919,1464.6524284395919,1436.2214796095184,1437.55126953125,4001199,3.0,-0.025550985506332613
INFY.NS,2023-02-14,1453.3716512253498,1463.7352349511611,1447.3645343194853,1461.213134765625,5043736,1.0,0.016459840936379644
INFY.NS,2023-02-15,1452.7298068628425,1466.48671791268,1445.3927876362625,1464.6983642578125,3465747,1.0,0.0023851616230827766
INFY.NS,2023-02-16,1467.4039353614166,1480.656382371035,1465.4320889324677,1469.0548095703125,4290289,1.0,0.002974295198798549
INFY.NS,2023-02-17,1461.9011640534618,1462.8182915089533,1444.934306126869,1452.5465087890625,2857734,1.0,-0.01123736206008441
INFY.NS,2023-02-20,1453.6010366458702,1470.1552310976708,1451.3541192838827,1460.4794921875,2417716,3.0,0.005461431596466282
INFY.NS,2023-02-21,1466.211461614736,1468.917054491703,1445.3927153816476,1448.6026611328125,2723288,1.0,-0.00813214503744819
INFY.NS,2023-02-22,1433.47013701294,1444.4756658959568,1426.4083007612826,1432.36962890625,3656244,1.0,-0.011205993653130686
INFY.NS,2023-02-23,1439.7524657040512,1439.7524657040512,1419.850845363736,1422.189453125,4766854,1.0,-0.007107226777087972
INFY.NS,2023-02-24,1430.7186730615194,1438.972819252259,1416.96176274362,1422.1435546875,2790986,1.0,-3.227308246389615e-05
INFY.NS,2023-02-27,1412.3762259804244,1412.3762259804244,1377.5253840406476,1384.220458984375,4920268,3.0,-0.026666151654048842
INFY.NS,2023-02-28,1389.9981820091593,1397.702074099726,1358.5407812408764,1364.2728271484375,9679811,1.0,-0.014410733280573962
